case_id,N,tile_size,profile,distribution,min_rank,max_rank,precision,rows_per_run,workspace_bytes,analysis_ms,analysis_min_ms,transient_median_ms,transient_min_ms,analyzed_median_ms,analyzed_min_ms,dense_median_ms,dense_min_ms,analyzed_speedup,cold_analysis_plus_numeric_ms,analysis_amortization_calls,exact_flops,executed_flops,padding_waste_pct,analyzed_executed_gflops,dense_gflops
N65536__b16384__constant_b16__fp16_fp32__rows4,65536,16384,constant_b16,constant,1024,1024,fp16_fp32,4,2281701376,1.468808,1.387827,156.252285,147.257208,152.108015,151.532063,875.571722,854.11925,5.756249741343348,153.576823,1,3.9582418599936e13,3.9582418599936e13,0.0,260225.7257774089,642951.2731811501
N65536__b16384__constant_b8__fp16_fp32__rows4,65536,16384,constant_b8,constant,2048,2048,fp16_fp32,4,4831838208,1.304322,1.208158,374.355299,364.075168,385.89188,384.632125,875.571722,854.11925,2.268956066139562,387.196202,Inf,8.796093022208e13,8.796093022208e13,0.0,227941.90492445708,642951.2731811501
N65536__b16384__uniform_b32_b8__fp16_fp32__rows4,65536,16384,uniform_b32_b8,uniform,512,2048,fp16_fp32,4,2749542400,1.160236,1.001969,244.671024,238.575153,240.065303,238.39927,875.571722,854.11925,3.6472231141207443,241.225539,1,4.8280504107008e13,4.8401462853632e13,0.24990721249435,201617.90249893797,642951.2731811501
N65536__b16384__skewed_b32_b8__fp16_fp32__rows4,65536,16384,skewed_b32_b8,skewed,512,2048,fp16_fp32,4,2151092224,1.12991,0.939676,176.109826,175.49088,189.926207,177.528048,875.571722,854.11925,4.610062696613532,191.056117,Inf,3.7270759079936e13,3.74501015552e13,0.4788838155743213,197182.38018200407,642951.2731811501
N65536__b16384__constant_b32__fp32_tf32__rows4,65536,16384,constant_b32,constant,512,512,fp32_tf32,4,2214592512,1.161497,1.078364,148.049303,145.037548,128.52302,124.838908,1801.867818,1784.279821,14.019806086100372,129.684517,1,1.8691697672192e13,1.8691697672192e13,0.0,145434.62853730016,312425.77718390216
N65536__b16384__constant_b16__fp32_tf32__rows4,65536,16384,constant_b16,constant,1024,1024,fp32_tf32,4,4563402752,1.178163,1.168318,339.51768,331.190139,339.724629,338.827857,1801.867818,1784.279821,5.303906941642432,340.902792,Inf,3.9582418599936e13,3.9582418599936e13,0.0,116513.24402487169,312425.77718390216
N65536__b16384__constant_b8__fp32_tf32__rows4,65536,16384,constant_b8,constant,2048,2048,fp32_tf32,4,9663676416,1.167206,1.12926,770.279855,749.298344,764.023185,732.04452,1801.867818,1784.279821,2.3583941605122885,765.190391,1,8.796093022208e13,8.796093022208e13,0.0,115128.61382875443,312425.77718390216
N65536__b16384__uniform_b32_b8__fp32_tf32__rows4,65536,16384,uniform_b32_b8,uniform,512,2048,fp32_tf32,4,5499084800,1.16989,1.024784,411.710091,351.094782,356.598106,349.443432,1801.867818,1784.279821,5.052937151606745,357.767996,1,4.8280504107008e13,4.8401462853632e13,0.24990721249435,135731.1271126942,312425.77718390216
N65536__b16384__skewed_b32_b8__fp32_tf32__rows4,65536,16384,skewed_b32_b8,skewed,512,2048,fp32_tf32,4,4302184448,1.20327,1.057512,313.594316,249.630256,272.144691,262.456275,1801.867818,1784.279821,6.620991985472903,273.347961,1,3.7270759079936e13,3.74501015552e13,0.4788838155743213,137610.99442208116,312425.77718390216
N65536__b16384__constant_b32__fp32__rows4,65536,16384,constant_b32,constant,512,512,fp32,4,2214592512,1.191122,1.04922,389.173785,387.371559,397.506743,397.071311,10727.456326,10695.811889,26.98685371986256,398.697865,Inf,1.8691697672192e13,1.8691697672192e13,0.0,47022.3411334484,52477.487329116164
N65536__b16384__constant_b16__fp32__rows4,65536,16384,constant_b16,constant,1024,1024,fp32,4,4563402752,1.154097,1.061198,839.105054,835.827761,832.854664,832.527364,10727.456326,10695.811889,12.880346103218796,834.0087609999999,1,3.9582418599936e13,3.9582418599936e13,0.0,47526.20152216138,52477.487329116164
N65536__b16384__constant_b8__fp32__rows4,65536,16384,constant_b8,constant,2048,2048,fp32,4,9663676416,1.067948,1.059576,1838.459684,1838.044404,1835.758738,1835.562884,10727.456326,10695.811889,5.843609023311646,1836.8266859999999,1,8.796093022208e13,8.796093022208e13,0.0,47915.299762054026,52477.487329116164
N65536__b16384__uniform_b32_b8__fp32__rows4,65536,16384,uniform_b32_b8,uniform,512,2048,fp32,4,5499084800,1.181638,1.077192,995.265092,994.946356,994.478567,993.634755,10727.456326,10695.811889,10.787016112736394,995.660205,2,4.8280504107008e13,4.8401462853632e13,0.24990721249435,48670.19205817836,52477.487329116164
