case_id,N,tile_size,rank,precision,rows_per_run,workspace_bytes,analysis_ms,analysis_min_ms,numeric_median_ms,numeric_min_ms,executed_flops,executed_gflops
N16384__b2048__r256__fp16_fp32__rows3,16384,2048,256,fp16_fp32,3,226492416,3.740155,3.679885,4.609064,4.593722,1.37438953472e12,298192.7642402015
N16384__b2048__r256__fp16_fp32__rows4,16384,2048,256,fp16_fp32,4,301989888,2.793388,2.419149,4.599851,4.598419,1.37438953472e12,298790.01183299196
N16384__b2048__r256__fp16_fp32__rows5,16384,2048,256,fp16_fp32,5,377487360,2.577055,2.517476,4.596446,4.594723,1.37438953472e12,299011.35240575
N16384__b2048__r256__fp16_fp32__rows6,16384,2048,256,fp16_fp32,6,452984832,2.491908,2.470927,4.651328,4.593101,1.37438953472e12,295483.2543996037
N16384__b2048__r256__fp16_fp32__rows7,16384,2048,256,fp16_fp32,7,528482304,2.599479,2.534962,4.640121,4.630537,1.37438953472e12,296196.9170028109
N16384__b2048__r256__fp16_fp32__rows8,16384,2048,256,fp16_fp32,8,603979776,1.993032,1.913782,4.643306,4.640812,1.37438953472e12,295993.74555973697
N16384__b2048__r256__fp32_tf32__rows1,16384,2048,256,fp32_tf32,1,150994944,16.97998,5.090435,7.87446,7.873408,1.37438953472e12,174537.6234967223
N16384__b2048__r256__fp32_tf32__rows2,16384,2048,256,fp32_tf32,2,301989888,27.258385,5.499377,7.712347,7.709412,1.37438953472e12,178206.392259062
N16384__b2048__r256__fp32_tf32__rows3,16384,2048,256,fp32_tf32,3,452984832,4.56565,4.488895,7.62143,7.576904,1.37438953472e12,180332.23879508176
N16384__b2048__r256__fp32_tf32__rows4,16384,2048,256,fp32_tf32,4,603979776,4.082877,4.013083,7.681301,7.641611,1.37438953472e12,178926.66030402924
N16384__b2048__r256__fp32_tf32__rows5,16384,2048,256,fp32_tf32,5,754974720,4.112752,3.961736,8.060438,8.049531,1.37438953472e12,170510.52743287646
N16384__b2048__r256__fp32_tf32__rows6,16384,2048,256,fp32_tf32,6,905969664,4.012683,3.900094,7.666798,7.657906,1.37438953472e12,179265.12929126344
N16384__b2048__r256__fp32_tf32__rows7,16384,2048,256,fp32_tf32,7,1056964608,4.041216,3.983518,7.602713,7.583775,1.37438953472e12,180776.19590796076
N16384__b2048__r256__fp32_tf32__rows8,16384,2048,256,fp32_tf32,8,1207959552,1.594835,1.570669,7.662262,7.657786,1.37438953472e12,179371.2528650156
N16384__b2048__r256__fp32__rows1,16384,2048,256,fp32,1,150994944,5.821208,5.705465,30.321939,30.317552,1.37438953472e12,45326.57145441787
N16384__b2048__r256__fp32__rows2,16384,2048,256,fp32,2,301989888,4.979649,4.819189,30.013197,29.942101,1.37438953472e12,45792.840220253776
N16384__b2048__r256__fp32__rows3,16384,2048,256,fp32,3,452984832,4.170348,4.100504,29.585567,29.569673,1.37438953472e12,46454.730264929516
N16384__b2048__r256__fp32__rows4,16384,2048,256,fp32,4,603979776,3.778202,3.744471,29.476985,29.475232,1.37438953472e12,46625.85182032694
N16384__b2048__r256__fp32__rows5,16384,2048,256,fp32,5,754974720,3.708107,3.56336,29.330906,29.302404,1.37438953472e12,46858.06618861347
N16384__b2048__r256__fp32__rows6,16384,2048,256,fp32,6,905969664,3.644551,3.600386,29.473599,29.473029,1.37438953472e12,46631.2083135826
N16384__b2048__r256__fp32__rows7,16384,2048,256,fp32,7,1056964608,3.733184,3.664371,29.355624,29.346579,1.37438953472e12,46818.610795669
N16384__b2048__r256__fp32__rows8,16384,2048,256,fp32,8,1207959552,2.879287,2.855832,29.130175,29.112779,1.37438953472e12,47180.957022057024
N32768__b4096__r512__fp16_fp32__rows1,32768,4096,512,fp16_fp32,1,301989888,7.232489,6.594845,36.634211,35.806063,1.099511627776e13,300132.47119639075
N32768__b4096__r512__fp16_fp32__rows2,32768,4096,512,fp16_fp32,2,603979776,5.993375,5.974758,38.687924,37.7635,1.099511627776e13,284200.21394169406
N32768__b4096__r512__fp16_fp32__rows3,32768,4096,512,fp16_fp32,3,905969664,5.023424,4.91312,37.282341,36.863665,1.099511627776e13,294914.8573519029
N32768__b4096__r512__fp16_fp32__rows4,32768,4096,512,fp16_fp32,4,1207959552,6.753853,4.11776,38.307844,37.858373,1.099511627776e13,287019.9710993915
N32768__b4096__r512__fp16_fp32__rows5,32768,4096,512,fp16_fp32,5,1509949440,6.031953,4.460372,38.280934,36.368564,1.099511627776e13,287221.73491796205
N32768__b4096__r512__fp16_fp32__rows6,32768,4096,512,fp16_fp32,6,1811939328,4.433893,4.186482,39.50845,37.219307,1.099511627776e13,278297.839519394
N32768__b4096__r512__fp16_fp32__rows7,32768,4096,512,fp16_fp32,7,2113929216,4.183458,4.180464,37.826595,35.799052,1.099511627776e13,290671.58378278563
N32768__b4096__r512__fp16_fp32__rows8,32768,4096,512,fp16_fp32,8,2415919104,3.281578,3.267838,37.918623,37.541829,1.099511627776e13,289966.12766660855
N32768__b4096__r512__fp32_tf32__rows1,32768,4096,512,fp32_tf32,1,603979776,6.112443,6.050341,61.24061,61.078978,1.099511627776e13,179539.6270180849
N32768__b4096__r512__fp32_tf32__rows2,32768,4096,512,fp32_tf32,2,1207959552,5.959504,5.619226,63.765497,61.653027,1.099511627776e13,172430.4960370653
N32768__b4096__r512__fp32_tf32__rows3,32768,4096,512,fp32_tf32,3,1811939328,5.214791,4.889103,61.803282,60.629275,1.099511627776e13,177905.05490889627
N32768__b4096__r512__fp32_tf32__rows4,32768,4096,512,fp32_tf32,4,2415919104,3.100469,2.925777,64.34901,61.331326,1.099511627776e13,170866.90654230732
N32768__b4096__r512__fp32_tf32__rows5,32768,4096,512,fp32_tf32,5,3019898880,27.23442,2.489575,63.091189,60.668474,1.099511627776e13,174273.40413191452
N32768__b4096__r512__fp32_tf32__rows6,32768,4096,512,fp32_tf32,6,3623878656,3.100899,2.636343,64.329821,62.854604,1.099511627776e13,170917.87458510106
N32768__b4096__r512__fp32_tf32__rows7,32768,4096,512,fp32_tf32,7,4227858432,2.955611,2.936923,64.781618,63.565628,1.099511627776e13,169725.8669544191
N32768__b4096__r512__fp32_tf32__rows8,32768,4096,512,fp32_tf32,8,4831838208,2.348994,2.226831,65.908423,64.047469,1.099511627776e13,166824.1444308264
N32768__b4096__r512__fp32__rows1,32768,4096,512,fp32,1,603979776,5.91642,5.891414,241.675094,241.641974,1.099511627776e13,45495.446368834346
N32768__b4096__r512__fp32__rows2,32768,4096,512,fp32,2,1207959552,3.163342,3.119376,227.430154,226.943007,1.099511627776e13,48345.02410687371
N32768__b4096__r512__fp32__rows3,32768,4096,512,fp32,3,1811939328,2.658878,2.611197,225.791384,225.737352,1.099511627776e13,48695.907182003015
N32768__b4096__r512__fp32__rows4,32768,4096,512,fp32,4,2415919104,2.345709,2.290797,228.541057,227.130097,1.099511627776e13,48110.02636502202
N32768__b4096__r512__fp32__rows5,32768,4096,512,fp32,5,3019898880,2.279621,2.264347,228.575339,227.164658,1.099511627776e13,48102.81076630056
N32768__b4096__r512__fp32__rows6,32768,4096,512,fp32,6,3623878656,2.34668,2.013222,228.254328,227.608422,1.099511627776e13,48170.46131874441
N32768__b4096__r512__fp32__rows7,32768,4096,512,fp32,7,4227858432,6.326584,4.474834,225.959206,224.772401,1.099511627776e13,48659.740279668
N32768__b4096__r512__fp32__rows8,32768,4096,512,fp32,8,4831838208,1.704831,1.700975,225.537225,225.349764,1.099511627776e13,48750.78283755598
